Country,Death,Elevation,Location,Name,Type,VEI,Year
Ecuador,5000,5023,Ecuador,Tungurahua,Stratovolcano,3,1640
Japan,,1140,Hokkaido-Japan,Komaga-take,Stratovolcano,5,1640
Indonesia,,1357,Halmahera-Indonesia,Makian,Stratovolcano,4,1646
Greece,120,329,Greece,Santorini,Shield volcano,4,1650
El Salvador,,1893,El Salvador,San Salvador,Stratovolcano,3,1659
Pacific Ocean,,655,Banda Sea,Teon,Stratovolcano,4,1659
Iceland,,1512,Iceland-S,Katla,Subglacial volcano,4,1660
Pacific Ocean,3,655,Banda Sea,Teon,Stratovolcano,4,1660
Papua New Guinea,2000,1280,New Guinea-NE of,Long Island,Complex volcano,6,1660
Japan,5,731,Hokkaido-Japan,Usu,Stratovolcano,5,1663
Japan,1,217,Ryukyu Is,Iwo-Tori-shima,Complex volcano,,1664
Japan,30,1500,Kyushu-Japan,Unzen,Complex volcano,2,1664
Italy,2,3350,Italy,Etna,Stratovolcano,3,1669
Italy,,3350,Italy,Etna,Stratovolcano,3,1669
Vanuatu,,1496,Vanuatu-SW Pacific,Aoba,Shield volcano,2,1670
Indonesia,3000,2947,Java,Merapi,Stratovolcano,3,1672
Portugal,3,1043,Azores,Fayal,Stratovolcano,2,1672
Indonesia,,1635,Halmahera-Indonesia,Gamkonora,Stratovolcano,5,1673
Spain,1,2426,Canary Is,La Palma,Stratovolcano,2,1677
Yemen,,624,Red Sea,Zukur,Shield volcano,,1679
Italy,4,1281,Italy,Vesuvius,Complex volcano,3,1682
Iceland,1,1725,Iceland-NE,Grimsvotn,Caldera,2,1684
Indonesia,,2249,Java,Guntur,Complex volcano,3,1690
Italy,,1281,Italy,Vesuvius,Complex volcano,,1690
Pacific Ocean,,641,Banda Sea,Serua,Stratovolcano,4,1692
Iceland,,1491,Iceland-S,Hekla,Stratovolcano,4,1693
Italy,,3350,Italy,Etna,Stratovolcano,,1693
Pacific Ocean,,640,Banda Sea,Banda Api,Caldera,3,1694
Ecuador,,5911,Ecuador,Cotopaxi,Stratovolcano,3,1698
Indonesia,,3078,Java,Cereme,Stratovolcano,3,1698
Italy,,1281,Italy,Vesuvius,Complex volcano,3,1698
Spain,,3715,Canary Is,Tenerife,Stratovolcano,2,1706
Greece,,329,Greece,Santorini,Shield volcano,,1707
Japan,,3776,Honshu-Japan,Fuji,Stratovolcano,4,1707
Indonesia,3000,1320,Sangihe Is-Indonesia,Awu,Stratovolcano,3,1711
Iceland,,2000,Iceland-NE,Bardarbunga,Stratovolcano,2,1712
Italy,,1281,Italy,Vesuvius,Complex volcano,,1714
Iceland,,2000,Iceland-NE,Bardarbunga,Stratovolcano,2,1716
Indonesia,,1731,Java,Kelut,Stratovolcano,2,1716
Japan,1,1700,Kyushu-Japan,Kirishima,Shield volcano,3,1716
Philippines,,400,Luzon-Philippines,Taal,Stratovolcano,4,1716
Guatemala,,3763,Guatemala,Fuego,Stratovolcano,3,1717
Iceland,,2000,Iceland-NE,Bardarbunga,Stratovolcano,3,1717
Japan,1,1700,Kyushu-Japan,Kirishima,Shield volcano,3,1717
Portugal,2,2351,Azores,Pico,Stratovolcano,2,1718
Iceland,,1512,Iceland-S,Katla,Subglacial volcano,5,1721
Japan,15,2560,Honshu-Japan,Asama,Complex volcano,1,1721
Iceland,,2000,Iceland-NE,Bardarbunga,Stratovolcano,1,1726
Iceland,3,2119,Iceland-SE,Oraefajokull,Stratovolcano,4,1727
Iceland,,650,Iceland-NE,Krafla,Caldera,2,1729
Iceland,,2000,Iceland-NE,Bardarbunga,Stratovolcano,1,1729
Canada,,609,Canada,Tseax River Cone,Pyroclastic cone,,1730
Indonesia,,3332,Java,Raung,Stratovolcano,3,1730
Spain,,670,Canary Is,Lanzarote,Fissure vent,2,1730
Italy,2,1281,Italy,Vesuvius,Complex volcano,2,1737
Japan,,737,Hokkaido-Japan,Oshima-Oshima,Stratovolcano,4,1741
Ecuador,,5911,Ecuador,Cotopaxi,Stratovolcano,3,1742
Ecuador,,5911,Ecuador,Cotopaxi,Stratovolcano,3,1742
Philippines,,400,Luzon-Philippines,Taal,Stratovolcano,3,1749
Iceland,,1725,Iceland-NE,Grimsvotn,Caldera,2,1753
Philippines,12,400,Luzon-Philippines,Taal,Stratovolcano,4,1754
Iceland,2,1512,Iceland-S,Katla,Subglacial volcano,4,1755
